GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-config/core-config,com.nttdata.core.common.model,CoreUser,22,208,1,47,1,7,6,32,5,9
core-config/core-config,com.nttdata.core.common.model,ApiError,2,188,2,32,0,15,2,26,0,11
core-config/core-config,com.nttdata.core.common.model,PageOrder,83,130,1,29,15,4,9,20,8,6
core-config/core-config,com.nttdata.core.common.model,Button,37,259,1,55,2,9,10,38,9,11
core-config/core-config,com.nttdata.core.common.model,CoreConfig,37,300,1,69,2,9,10,45,9,11
core-config/core-config,com.nttdata.core.common.model,TableColumn,14,221,1,45,0,9,4,35,3,13
core-config/core-config,com.nttdata.core.common.model,PageConfig,21,77,3,9,2,4,7,9,4,6
core-config/core-config,com.nttdata.core.common.model,Core,0,71,0,14,0,4,0,13,0,6
core-config/core-config,com.nttdata.core.common.model,ApiResponse,12,83,1,17,4,3,3,13,2,5
core-config/core-config,com.nttdata.core.common.model,RecaptchaConfig,25,84,10,12,2,3,11,8,3,5
core-config/core-config,com.nttdata.core.common.model,CoreDetails,84,0,16,0,6,0,14,0,6,0
core-config/core-config,com.nttdata.core.common.model,Page,49,201,2,36,3,9,14,27,12,10
core-config/core-config,com.nttdata.core.security.listener,SecurityEventListener,300,7,12,0,50,2,20,1,14,1
core-config/core-config,com.nttdata.core.security.listener,SecurityEventListener.SecurityCategories,92,0,0,0,12,0,3,0,3,0
core-config/core-config,com.nttdata.core.audit.service.impl,AuditableServiceImpl,97,0,4,0,20,0,6,0,4,0
core-config/core-config,com.nttdata.core.security.recaptcha.exception,InvalidRecaptchaException,4,0,0,0,2,0,1,0,1,0
core-config/core-config,com.nttdata.core.common,EnabledOnEnum,0,44,0,0,0,5,0,1,0,1
core-config/core-config,com.nttdata.core.security.advice,RequestBodyControllerAdvice,397,0,38,0,85,0,31,0,12,0
core-config/core-config,com.nttdata.core.profiles.service.impl,ProfileServiceImpl,101,0,0,0,28,0,7,0,7,0
core-config/core-config,com.nttdata.core.context,ConfigProperties.Security.SecurityUrl,23,123,0,28,1,4,5,19,5,5
core-config/core-config,com.nttdata.core.context,ApplicationEventPublisherHolder.InnerContextResource,4,0,0,0,2,0,1,0,1,0
core-config/core-config,com.nttdata.core.context,ApplicationEventPublisherHolder.SpringContextHolder,5,0,0,0,1,0,1,0,1,0
core-config/core-config,com.nttdata.core.context,ConfigProperties.Security,23,123,0,28,1,4,5,19,5,5
core-config/core-config,com.nttdata.core.context,ApplicationContextHolder.SpringContextHolder,0,5,0,0,0,1,0,1,0,1
core-config/core-config,com.nttdata.core.context,ConfigProperties.Bbdd.Pagination,42,210,0,46,1,7,8,31,8,8
